	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1014	9.57263949850153	-3.26912480179816	0.555765507399168	-5.88220168087936	4.04844596118218e-09	1.57306661628056e-07	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tenuissima
ASV10149	3.62640413645756	2.17154968169804	0.452256721815346	4.80158630474634	1.57413637959829e-06	3.26884705179273e-05	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae
ASV1052	2.854291626624	-1.5747608879102	0.444496908000944	-3.54279379578238	0.000395912144718496	0.00358031798335865	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tellustris
ASV10944	41.546510389832	5.0370948235275	0.62328965792952	8.0814670345406	6.39922273154218e-16	1.24092750983598e-13	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium citrinum
ASV1099	2.99444684136536	-2.15413331566708	0.465934416354245	-4.62325434665747	3.77766049681519e-06	7.14967553068822e-05	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium griseofulvum
ASV1102	2.04302601646498	-1.42725712783198	0.397460851153422	-3.59093763244886	0.000329490480805175	0.00306151571748141	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista plumbea
ASV1127	1.84674563448313	-1.37293417533161	0.401448522082554	-3.41995075286211	0.000626324731990441	0.00511531775538053	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala heteromorpha
ASV118	51.9932324026906	-5.81531005343658	0.650319621862827	-8.94223372313255	3.81381926777804e-19	1.50469838649489e-16	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypella	Diatrypella favacea
ASV1197	2.2795986872713	-1.73809655370607	0.431300287547725	-4.02989889848784	5.58008478153525e-05	0.000719101880514932	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista plumbea
ASV1211	2.48706090348115	-1.9033017220177	0.442930466874974	-4.29706661509682	1.73073195753957e-05	0.000270637933238429	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia tenuis
ASV1272	4.27952959298526	-2.85641936488076	0.473350572923362	-6.0344690136104	1.59486228861871e-09	6.59681345026239e-08	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypella	Diatrypella favacea
ASV13	12.537848280818	-3.55742667716896	0.480537041746804	-7.40302280181634	1.33118880716446e-13	1.19783638455202e-11	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
ASV1301	1.81161853752553	-1.28111803698512	0.389298729281854	-3.29083539355091	0.000998903454507309	0.00734007996872205	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista plumbea
ASV132	19.7355734957092	-5.15032459230247	0.578931137141197	-8.89626461920004	5.77577725040275e-19	2.11599725123684e-16	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
ASV1326	2.58754733068572	1.70468722102334	0.434417939746213	3.92407187884373	8.70647396434663e-05	0.0010080249427344	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	Neodevriesia lagerstroemiae
ASV1378	2.73238119924597	-1.732849543445	0.418058153718119	-4.14499640309228	3.39819044262908e-05	0.000478827439017708	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	Neodevriesia lagerstroemiae
ASV1435	2.2333119160003	-1.69887519995313	0.403709154371023	-4.2081661551618	2.57451537209182e-05	0.000378357860844096	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium ochrochloron
ASV1446	2.12624701039789	-1.31958697635583	0.403467399092247	-3.27061611254029	0.00107313477317285	0.00775226514310357	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista plumbea
ASV1484	2.12377937892794	-1.59858757919989	0.425065209717206	-3.76080550149803	0.000169367086143251	0.00177282405067089	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ustus
ASV1535	2.20189277108685	-1.66857164371669	0.426232510537758	-3.91469820453519	9.05173553052015e-05	0.00104328879856265	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria longipes
ASV154	5.09440811565061	-2.90922978928044	0.510613683104814	-5.69751631329327	1.21565353056271e-08	4.17560286108454e-07	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
ASV1614	2.04498060498691	1.3062007606106	0.399631723362849	3.26851119230248	0.00108114901390937	0.00777529876867328	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora musae
ASV162	6.31613153178604	1.65824999231703	0.489609219996564	3.38688473294818	0.000706910816892512	0.00555244346070704	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercosporella	Cercosporella tinosporae
ASV17	1476.6352775571	-9.8124572514265	0.688207069762268	-14.258001236192	3.99740367017142e-46	2.05026834243092e-42	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia exosporioides
ASV176	97.0649452457668	-3.57841664547675	0.651666275359993	-5.49117973536372	3.99257784191006e-08	1.17689262937682e-06	Fungi	Basidiomycota	Microbotryomycetes	Kriegeriales	Kriegeriaceae	Phenoliferia	Phenoliferia glacialis
ASV1779	2.23461843542865	-1.60271409850385	0.398250249608624	-4.02438943874837	5.71233223950707e-05	0.00073063720838982	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium aurantiogriseum
ASV190	2.96929839273336	-2.04985256816995	0.434742887126455	-4.71509167572351	2.41601943667775e-06	4.82169793413236e-05	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
ASV203	15.7582343856585	-4.81455950079229	0.594808541242299	-8.0943012195769	5.75940095272388e-16	1.18159869946083e-13	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypella	Diatrypella favacea
ASV2070	2.69406929890174	-2.05124761962972	0.438274316874161	-4.6802825095012	2.86479877572723e-06	5.67318645587065e-05	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
ASV2078	1.98133290695727	-1.2656386078536	0.397052603855869	-3.18758420310732	0.0014346667878025	0.0096314214065956	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria citrimacularis
ASV2095	2.23908084440557	-1.60904113573584	0.390228609475681	-4.12332949626061	3.73434910542641e-05	0.000514007542370051	Fungi	Ascomycota	Lichinomycetes	Lichinales	Lichinaceae	Heppia	Heppia africana
ASV215	36.0117341099986	-3.39209623684548	0.628686729115572	-5.39552702443304	6.83227077466996e-08	1.86397429804693e-06	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria longipes
ASV2177	1.69291170696292	-1.12832334656842	0.333834276949435	-3.37989063579391	0.000725146779984127	0.00565239792483068	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia exosporioides
ASV219	109.141646561502	-6.77942749659356	0.651066499986394	-10.4128034490106	2.16743125816153e-25	2.77918873077762e-22	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia tenuis
ASV2281	2.09926281919368	-1.57804000813001	0.407414180446026	-3.87330653636654	0.000107368642953373	0.00121031597737989	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium oxalicum
ASV230	84.5442451180344	-2.45621204804285	0.678974560885649	-3.61753177444378	0.000297425826873022	0.00284607661573084	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria longipes
ASV2362	1.98166832057766	-1.46259474998618	0.397937067020268	-3.67544235307863	0.000237437652014817	0.00235099945402316	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium lanosum
ASV2462	62.6448986539218	-2.63922951642872	0.698014983709187	-3.78104994595402	0.000156168336237235	0.00165152040527995	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypella	Diatrypella favacea
ASV2479	8.0299451967735	2.20908127316535	0.402852383786113	5.48359985462621	4.16756860073481e-08	1.2145147359755e-06	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
ASV248	2.56756055573891	-1.9657173613831	0.44006762429229	-4.46685294003242	7.93786556164358e-06	0.000139445188093163	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria tenuissima
ASV2647	2.0921198677977	-1.56923399129023	0.41285374469782	-3.80094406661807	0.000144145840821123	0.0015434739406504	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella cucumerina
ASV2666	1.83489904494753	-1.30410676351425	0.383274057393183	-3.40254378912065	0.000667616558625937	0.0053934614305794	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Paramyrothecium	Paramyrothecium roridum
ASV2722	1.83927095745043	-1.31391021372293	0.376811012541135	-3.48692094974135	0.000488615759448715	0.00424764445798722	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista plumbea
ASV2732	1.91003275698525	-1.18231419312372	0.364258845459734	-3.24580777614752	0.00117117890488861	0.00829655402568627	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus latus
ASV2776	1.93642425519154	-1.4161868689893	0.362816523906724	-3.90331414275219	9.48844182655581e-05	0.00108872971204485	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
ASV2817	1.80747232197619	-1.27151758094609	0.380684740133342	-3.34008024724268	0.000837541849384525	0.00635466293712016	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ustus
ASV2857	2.11902129446372	-1.49522541389919	0.376638284320748	-3.9699241318385	7.18955209246949e-05	0.000879152217852987	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ustus
